index,chemicalFormula Clean,Band gap values Clean,Band gap units,Band gap method,Reliability
234,K1Cl1,8.69,eV,Reflection,2
235,K1Cl1,7.68,eV,Reflection,2
236,K2Se1,1.8,eV,Estimated,1
237,K1Br1,7.6,eV,Absorption,1
238,K1Br1,8.0,eV,Photoconduction,2
239,K1Br1,7.3,eV,Absorption,2
240,K1Br1,6.75,eV,Reflection,2
241,K1Br1,7.215,eV,Reflection,2
242,K1Br1,7.76,eV,Absorption,2
243,K1Br1,6.58,eV,Reflection,2
244,K1Br1,7.13,eV,Reflection,2
245,K3Sb1,1.8,eV,Absorption,1
246,K3Sb1,1.0,eV,Thermal activation,1
247,K3Sb1,1.4,eV,Absorption,1
248,K3Sb1,1.1,eV,Photoconduction,2
249,K3Sb1,1.1,eV,Absorption,2
250,K3Sb1,1.1,eV,Absorption,2
251,K2Te1,1.9,eV,Estimated,1
252,K1I1,6.17,eV,Reflection,1
253,K1I1,6.31,eV,Absorption,2
254,K1I1,6.25,eV,Reflection,2
255,K1I1,6.375,eV,Reflection,2
256,K1I1,6.08,eV,Absorption,2
257,K1I1,6.2,eV,Absorption,2
258,K1I1,6.2,eV,Absorption,2
259,K1I1,5.61,eV,Reflection,2
260,K1I1,5.92,eV,Absorption,2
261,K1I1,6.28,eV,Absorption,2
262,Ca1B6,4.5,eV,Reflection,1
263,Ca1B6,4.4,eV,,2
264,Ca1B6,3.3,eV,Reflection,2
265,Ca1O1,7.7,eV,Estimated,1
266,Ca1O1,6.1,eV,Absorption,2
267,Ca1O1,7.0,eV,Absorption,2
268,Ca1O1,7.03,eV,Reflection,2
269,Ca1O1,7.5,eV,Estimated,2
270,Ca1F2,10.0,eV,Absorption,1
271,Ca2Si1,1.9,eV,,1
272,Ca1S1,6.0,eV,Absorption,1
273,Ca1S1,5.38,eV,Absorption,2
274,Ca1Se1,4.87,eV,Absorption,1
275,Ca2Sn1,0.9,eV,Thermal activation,1
276,Ca1Te1,4.07,eV,Absorption,1
277,Ca1I2,5.98,eV,Absorption,1
278,Ca2Pb1,0.46,eV,Thermal activation,1
279,Sc1N1,2.6,eV,,1
280,Sc2O3,6.0,eV,Absorption,1
281,Sc2O3,6.2,eV,Absorption,2
282,Sc2O3,5.4,eV,Reflection,2
283,Sc2O3,1.7,eV,Thermal activation,2
284,Sc2S3,2.0,eV,Thermal activation,1
285,Ti1C0.9,0.3,eV,Magnetoreflection,1
286,Ti2O3,0.04,eV,,1
287,Ti1O2,3.0,eV,Electroreflection,1
288,Ti1O2,3.3,eV,Electroreflection,1
289,Ti2O3,0.02,eV,,2
290,Ti2O3,0.05,eV,Thermal activation,2
291,Ti1O2,3.05,eV,Photoconduction,2
292,Ti1O2,3.5,eV,Electroreflection,2
293,Ti1O2,3.75,eV,Absorption,2
294,Ti1O2,2.9,eV,Absorption,2
295,Ti1S2,1.24,eV,Estimated,1
296,Ti2S3,0.3,eV,Thermal activation,1
297,Ti1S3,0.9,eV,Absorption,1
298,Ti1S2,1.95,eV,Reflection,2
299,Ti1Se2,0.69,eV,Estimated,1
300,Ti1Se2,1.55,eV,Reflection,2
301,Ti1Te2,1.0,eV,Reflection,1
302,V1O1,0.3,eV,,1
