chemicalFormula Clean,Band gap values Clean,Band gap units,index,Reliability
Cs3As1,0.6,eV,1045,1
Cs1Br1,7.18,eV,1046,1
Cs3Sb1,1.6,eV,1049,1
Cs2Te1,3.5,eV,1054,1
Cs1I1,6.37,eV,1055,1
Cs1Bi2,0.55,eV,1059,1
Cs3Bi1,0.55,eV,1060,1
Ba1O1,5.13,eV,1062,1
Ba1F2,9.06,eV,1065,1
Ba1S1,3.88,eV,1066,1
Ba1Se1,3.6,eV,1068,1
Ba1Te1,3.4,eV,1070,1
La1B6,0.08,eV,1072,1
La2O3,1.05,eV,1075,1
La1F3,6.6,eV,1077,1
La2S3,1.32,eV,1078,1
La2Se3,1.97,eV,1080,1
La1Sb1,0.8,eV,1082,1
La2Te3,0.1,eV,1083,1
La3Te4,0.43,eV,1084,1
Ce1N1,0.7,eV,1085,1
Ce1O2,2.68,eV,1086,1
Ce1F3,4.85,eV,1090,1
Ce2S3,1.12,eV,1091,1
Ce2Se3,1.75,eV,1092,1
Ce2Te3,1.4,eV,1095,1
Pr1B6,4.9,eV,1096,1
Pr1O2,0.66,eV,1097,1
Pr2O3,0.84,eV,1098,1
Pr1F3,5.9,eV,1101,1
Pr1As1,1,eV,1103,1
Pr2Se3,1.8,eV,1104,1
Pr1Sb1,0.66,eV,1106,1
Pr1Te2,1.154,eV,1107,1
Pr2Te3,1.3,eV,1109,1
Nd1B6,4.9,eV,1110,1
Nd2O3,0.97,eV,1113,1
Nd1F3,6.15,eV,1114,1
Nd2S3,3,eV,1115,1
Nd1As1,1.04,eV,1116,1
Nd2Se3,1.7,eV,1117,1
Nd2Te5,0.29,eV,1118,1
Nd1Te2,0.3,eV,1119,1
Nd4Te7,0.38,eV,1120,1
Nd2Te3,1.12,eV,1121,1
Sm1B6,4.9,eV,1123,1
Sm2O3,1.17,eV,1124,1
Sm1P1,1.09,eV,1126,1
Sm1S1,0.22,eV,1127,1
Sm2S3,3,eV,1128,1
Sm1As1,1.03,eV,1131,1
Sm1Se1,0.46,eV,1132,1
Sm2Se3,2.3,eV,1133,1
Sm1Sb1,0.59,eV,1135,1
Sm1Te1,0.62,eV,1136,1
Eu1N1,1.25,eV,1137,1
Eu1O1,1.122,eV,1139,1
Eu3O4,0.6,eV,1140,1
Eu2O3,1.7,eV,1141,1
Eu3P2,1.2,eV,1146,1
Eu1S1,1.645,eV,1147,1
Eu3S4,0.163,eV,1148,1
Eu3As2,0.6,eV,1153,1
Eu1Se1,1.78,eV,1154,1
Eu1Te1,1.959,eV,1160,1
Gd1B6,3.6,eV,1163,1
Gd1N1,1.54,eV,1164,1
Gd2O3,1.36,eV,1165,1
Gd1As1,0.63,eV,1167,1
Gd1Te1,1.3,eV,1168,1
Tb1O2,0.5,eV,1169,1
Tb2O3,0.95,eV,1170,1
Tb4O7,0.4,eV,1171,1
Dy1B6,3.3,eV,1174,1
Dy1N1,2.6,eV,1175,1
Dy2O3,3.08,eV,1177,1
Dy2S3,2.91,eV,1179,1
Dy1As1,1,eV,1181,1
Ho1N1,1.79,eV,1182,1
Ho2O3,2.84,eV,1184,1
Er1B6,3.5,eV,1185,1
Er1N1,2.4,eV,1186,1
Er2O3,3.26,eV,1188,1
Er1Se2,1.07,eV,1190,1
Er2Se3,1.66,eV,1191,1
Er3Te4,0.9,eV,1192,1
Er1Te1,0.9,eV,1193,1
Er2Te3,0.9,eV,1194,1
Tm1As1,1.18,eV,1195,1
Yb2O3,2.99,eV,1196,1
YbS,0.33,eV,1198,1
Yb1As1,1.02,eV,1200,1
Yb1Sb1,1,eV,1201,1
Lu2O3,3.94,eV,1202,1
Hf1O2,5.55,eV,1203,1
Hf1S2,2.43,eV,1204,1
Hf1S3,2.8,eV,1205,1
Hf1Se2,1.665,eV,1208,1
TaN,2.3,eV,1210,1
Ta2O5,4.6,eV,1211,1
Ta1S2,0.1,eV,1212,1
W1O3,2.8,eV,1213,1
W1S2,1.1,eV,1216,1
W1Se2,1.35,eV,1218,1
W1Te2,0.05,eV,1223,1
Re1O3,2.3,eV,1225,1
Re1Si2,0.12,eV,1226,1
Re1S2,1.1,eV,1227,1
Re1Se2,0.99,eV,1228,1
Os1P2,1.2,eV,1229,1
Os1S2,2,eV,1230,1
Os1As2,0.9,eV,1231,1
Os1Sb2,0.2,eV,1232,1
Os1Te2,0.3,eV,1233,1
