AtomicNumber_composition_average,AtomicRadii_composition_average,AtomicVolume_composition_average,AtomicWeight_composition_average,BCCefflatcnt_composition_average,BCCenergy_pa_composition_average,BCCfermi_composition_average,BCCmagmom_composition_average,BCCvolume_pa_composition_average,BCCvolume_padiff_composition_average,BoilingT_composition_average,BulkModulus_composition_average,Column_composition_average,CovalentRadii_composition_average,CovalentRadius_composition_average,Density_composition_average,ElasticModulus_composition_average,ElectricalConductivity_composition_average,ElectronAffinity_composition_average,Electronegativity_composition_average,FirstIonizationEnergy_composition_average,GSbandgap_composition_average,GSenergy_pa_composition_average,GSestBCClatcnt_composition_average,GSestFCClatcnt_composition_average,GSmagmom_composition_average,GSvolume_pa_composition_average,Group_composition_average,HHIp_composition_average,HHIr_composition_average,HeatCapacityMass_composition_average,HeatCapacityMolar_composition_average,HeatFusion_composition_average,HeatVaporization_composition_average,ICSDVolume_composition_average,IonicRadii_composition_average,IonizationEnergy_composition_average,IsAlkali_composition_average,IsAlkalineEarth_composition_average,IsBCC_composition_average,IsBoron_composition_average,IsCarbon_composition_average,IsChalcogen_composition_average,IsDBlock_composition_average,IsFBlock_composition_average,IsFCC_composition_average,IsHalogen_composition_average,IsHexagonal_composition_average,IsMetal_composition_average,IsMetalloid_composition_average,IsMonoclinic_composition_average,IsNobleGas_composition_average,IsNonmetal_composition_average,IsOrthorhombic_composition_average,IsPnictide_composition_average,IsRareEarth_composition_average,IsRhombohedral_composition_average,IsSimpleCubic_composition_average,IsTetragonal_composition_average,IsTransitionMetal_composition_average,MeltingT_composition_average,MendeleevNumber_composition_average,MiracleRadius_composition_average,NUnfilled_composition_average,NValance_composition_average,NdUnfilled_composition_average,NdValence_composition_average,NfUnfilled_composition_average,NfValence_composition_average,NpUnfilled_composition_average,NpValence_composition_average,NsUnfilled_composition_average,NsValence_composition_average,Number_composition_average,Period_composition_average,Polarizability_composition_average,Row_composition_average,SecondIonizationEnergy_composition_average,ShearModulus_composition_average,SpaceGroupNumber_composition_average,SpecificHeatCapacity_composition_average,ThermalConductivity_composition_average,ThermalExpansionCoefficient_composition_average,ThirdIonizationEnergy_composition_average,n_ws^third_composition_average,phi_composition_average,valence_composition_average
10,1.31,9320.523448,20.994086,6.444401,-1.041216,-0.135857,0,18.82,-0.655417,620.44,3.15,9,1.13,111.5,484.848,2.5,1.01E+01,190.35,2.455,11.280938,0.985,-1.479151,3.284681,4.138439,0,19.475417,9,1300,1000,1.026,29.767,1.4275,50.6399,28.05,1.175,1088.4,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0.5,0,0,0,0,0.5,0,0,212.185,47.5,90,1,4,0,0,0,0,0.5,2.5,0.5,1.5,10,2.5,12.3335,2.5,41.128,1.65,122,1.027,70.51395,935.5,67.174,0.41,1.35,1
12.666667,1.69,35.347735,26.014846,7.273241,-1.837253,3.465361,0,24.68,-3.411181,1009.906667,6.766667,6,1.366667,145.666667,1298.666667,9.666667,1.34E+01,101.94,1.48,6.879387,0.734,-2.2059,3.828544,4.823663,0,28.091181,6,966.666667,666.666667,1.054667,26.386667,2.307,68.673333,35.033333,0.776667,663.726667,0.666667,0,0.666667,0,0,0.333333,0,0,0,0,0,0.666667,0,0,0,0.333333,0.333333,0,0,0,0,0,0,376.7,30.666667,154.333333,1.333333,2.666667,0,0,0,0,0.666667,1.333333,0.666667,1.333333,12.666667,3,17.04,3,39.300667,2.2,176,1.056667,94.089667,70.666667,59.370667,0.546667,1.8,2.666667
14,1.445,9178.472683,29.221385,7.330656,-1.104515,1.763982,0,24.875,-1.995417,697.48,3.7,9,1.265,134,485.607,2.5,1.01E+01,200.75,2.045,9.053353,1.2465,-1.522338,3.770427,4.750441,0,26.870417,9,1300,750,0.8535,31.0895,2.9,54.105,34.35,1.415,873.45,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0.5,0.5,0,0,0,0,0,0,271.235,48,90,1,4,0,0,0,0,0.5,2.5,0.5,1.5,14,3,13.145,3,35.548,1.65,146.5,0.855,70.50445,35.5,55.626,0.41,1.35,4
18.666667,1.733333,35.361821,41.646513,7.460007,-1.803237,2.74742,0,26.196667,-1.938889,1090,6.966667,6,1.413333,150.666667,2251.666667,10,1.61E+01,100.12,1.47,6.676847,0.266333,-1.997092,3.830675,4.826348,0,28.135556,6,1466.666667,2333.333333,0.925667,27.274333,3.963333,74.113333,36.4,0.846667,644.166667,0.666667,0,0.666667,0,0,0.333333,0,0,0,0,0.333333,0.666667,0,0,0,0.333333,0,0,0,0,0,0,0,411.913333,31,159.333333,1.333333,6,0,3.333333,0,0,0.666667,1.333333,0.666667,1.333333,18.666667,3.333333,17.33,3.333333,38.587333,3.433333,157.333333,0.926667,94.68,62.333333,58.034,0.546667,1.8,2.666667
23,1.52,40.983077,51.446885,7.591534,-1.126558,1.661232,0,27.385,-1.976667,744,4.1,9,1.34,143,2044,2.5,1.01E+01,188.65,1.945,8.476438,0.7285,-1.421633,3.886895,4.897181,0,29.361667,9,2200,3700,0.851,51.96,3.9425,56.3675,52.4,1.49,817.85,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0.5,0.5,0,0,0,0,0,0,318.335,48.5,90,1,9,0,5,0,0,0.5,2.5,0.5,1.5,23,3.5,13.58,3.5,34.543,1.65,146.5,0.728,70.561,35.5,53.8205,0.41,1.35,4
21,1.8225,37.126603,47.682327,7.712276,-1.913342,3.083727,0,28.68,-1.1425,1332,15.225,4.5,1.505,159.25,2400.25,20.5,1.57E+01,64.775,1.21,6.006404,0,-1.974522,3.90665,4.922071,0,29.8225,4.5,2800,1225,0.97275,27.48,6.8975,90.5,37.325,0.955,580.275,0.75,0,0.75,0,0,0,0,0,0,0,0,1,0.25,0,0,0,0,0.25,0,0.25,0,0,0,504.0975,22.75,173.75,1.5,4.5,0,2.5,0,0,0.75,0.75,0.75,1.25,21,3.5,19.7325,3.5,39.597,7.475,213.25,0.97425,111.825,56,60.05575,0.93,3.125,2
24.666667,1.8,37.611115,57.859846,7.733249,-1.781029,3.529471,0,28.906667,-2.176667,1191,25.866667,6,1.48,156.666667,2725.333333,16.666667,1.34E+01,98.516667,1.32,6.429251,0.154667,-1.887262,3.95844,4.987322,0,31.083333,6,1700,1966.666667,0.886,27.396667,7.526667,82.216667,37.766667,1.003333,620.266667,0.666667,0,0.666667,0,0,0.333333,0,0,0,0,0.333333,0.666667,0.333333,0,0,0,0,0,0,0,0,0,0,488.133333,31.333333,166.666667,1.333333,6,0,3.333333,0,0,0.666667,1.333333,0.666667,1.333333,24.666667,3.666667,17.906667,3.666667,37.724,7.533333,203.333333,0.887333,94.783333,53.6,57.080667,0.546667,1.8,2.666667
32,1.615,41.048593,74.94712,8.015565,-1.153994,2.904241,0,32.285,-3.844167,806.65,7,9,1.435,152.5,2954,2.5,1.01E+01,174,1.795,7.795168,0.531,-1.382822,4.148096,5.226273,0,36.129167,9,3000,2650,0.721,41.33,5.18,59.455,41.1,1.61,752.1,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0.5,0.5,0,0,0,0,0,0,378.86,49,90,1,9,0,5,0,0,0.5,2.5,0.5,1.5,32,4,14.5675,4,33.2085,1.65,146.5,0.6875,70.7245,79,52.3205,0.41,1.35,4
10,1.165,9307.70973,20.1522,6.024241,-1.986711,3.579994,0,15.105,-0.8925,726.55,22.5,9,1.045,103.5,869.7145,22.2,1.12E+01,-44.45,2.375,10.632143,0,-3.149532,3.10411,3.910934,0,15.9975,9,2900,500,0.9705,27.1235,4.35,65.50545,20.35,1.06,1025.8,0,0.5,0,0,0,0.5,0,0,0,0,0.5,0.5,0,0,0,0.5,0,0,0,0,0.5,0,0,488.9,77.5,112,1,4,0,0,0,0,1,2,0,2,10,2.5,5.784333,2.5,25.076,8.5,103,0.97,78.1337,402.4,67.5385,0.585,1.725,2
10,1.013333,12408.81314,20.767269,5.803475,-1.056522,0.304177,0,13.246667,-0.855,510.92,15,12,0.933333,85,580.464,14.8,7.47E+00,142,3.09,14.163945,1.313333,-1.646131,2.984235,3.759901,0,14.101667,12,2766.666667,1166.666667,0.890333,29.159,2.996667,44.7132,18.733333,1.126667,1366.566667,0,0.333333,0,0,0,0,0,0,0,0.666667,0.333333,0.333333,0,0,0,0.666667,0,0,0,0,0.666667,0,0,343.333333,84.666667,53.333333,0.666667,5.333333,0,0,0,0,0.666667,3.333333,0,2,10,2.333333,3.960222,2.333333,28.325,5.666667,74.666667,0.889333,52.0186,1208.266667,68.519,0.39,1.15,1.333333
