AtomicNumber_composition_average,AtomicRadii_composition_average,AtomicVolume_composition_average,AtomicWeight_composition_average,BCCefflatcnt_composition_average,BCCenergy_pa_composition_average,BCCfermi_composition_average,BCCmagmom_composition_average,BCCvolume_pa_composition_average,BCCvolume_padiff_composition_average,BoilingT_composition_average,BulkModulus_composition_average,Column_composition_average,CovalentRadii_composition_average,CovalentRadius_composition_average,Density_composition_average,ElasticModulus_composition_average,ElectricalConductivity_composition_average,ElectronAffinity_composition_average,Electronegativity_composition_average,FirstIonizationEnergy_composition_average,GSbandgap_composition_average,GSenergy_pa_composition_average,GSestBCClatcnt_composition_average,GSestFCClatcnt_composition_average,GSmagmom_composition_average,GSvolume_pa_composition_average,Group_composition_average,HHIp_composition_average,HHIr_composition_average,HeatCapacityMass_composition_average,HeatCapacityMolar_composition_average,HeatFusion_composition_average,HeatVaporization_composition_average,ICSDVolume_composition_average,IonicRadii_composition_average,IonizationEnergy_composition_average,IsAlkali_composition_average,IsAlkalineEarth_composition_average,IsBCC_composition_average,IsBoron_composition_average,IsCarbon_composition_average,IsChalcogen_composition_average,IsDBlock_composition_average,IsFBlock_composition_average,IsFCC_composition_average,IsHalogen_composition_average,IsHexagonal_composition_average,IsMetal_composition_average,IsMetalloid_composition_average,IsMonoclinic_composition_average,IsNobleGas_composition_average,IsNonmetal_composition_average,IsOrthorhombic_composition_average,IsPnictide_composition_average,IsRareEarth_composition_average,IsRhombohedral_composition_average,IsSimpleCubic_composition_average,IsTetragonal_composition_average,IsTransitionMetal_composition_average,MeltingT_composition_average,MendeleevNumber_composition_average,MiracleRadius_composition_average,NUnfilled_composition_average,NValance_composition_average,NdUnfilled_composition_average,NdValence_composition_average,NfUnfilled_composition_average,NfValence_composition_average,NpUnfilled_composition_average,NpValence_composition_average,NsUnfilled_composition_average,NsValence_composition_average,Number_composition_average,Period_composition_average,Polarizability_composition_average,Row_composition_average,SecondIonizationEnergy_composition_average,ShearModulus_composition_average,SpaceGroupNumber_composition_average,SpecificHeatCapacity_composition_average,ThermalConductivity_composition_average,ThermalExpansionCoefficient_composition_average,ThirdIonizationEnergy_composition_average,n_ws^third_composition_average,phi_composition_average,valence_composition_average
26,1.3336,23.500781,56.401552,6.429678,-5.839002,6.62008,0,16.644,-6.100125,2437.432,72.62,11.6,1.148,128.6,4604,53,2.64E+00,158.652,2.188,8.919546,1.3212,-6.495659,3.55853,4.483466,0,22.744125,11.6,3820,4120,0.5308,23.46,13.0326,282.04,22.66,0.43,865.348,0,0,0.4,0,0,0.6,0.4,0,0,0,0,0.4,0,0,0,0.6,0.6,0,0,0,0,0,0.4,1333.016,71.6,119,4,5.6,2.4,1.6,0,0,1.2,2.4,0.4,1.6,26,3.8,8.02,3.8,19.726,15.2,133.6,0.532,21.6414,44.92,30.914,0.656,1.62,5.6
36.333333,1.409667,24.139914,83.608793,6.781417,-5.298268,5.375114,0,19.506667,-3.833333,2311,62.2,12.333333,1.22,134.666667,6069.333333,48,7.53E+00,161.973333,2.233333,8.754543,0.532667,-5.678302,3.590085,4.523224,0,23.34,12.333333,4300,6933.333333,0.302333,25.108667,14.46,247.58,25.9,0.546667,848.6,0,0,0.333333,0,0,0.666667,0.333333,0,0,0,0.666667,0.333333,0,0,0,0.666667,0,0,0,0,0,0,0.333333,1246,75,126.333333,3.666667,12.333333,2,8,0,0,1.333333,2.666667,0.333333,1.666667,36.333333,4.333333,7.746667,4.333333,18.9,15.133333,85.666667,0.301667,19.26,32.433333,28.893333,0.546667,1.35,5.666667
16.5,0.888,13948.0231,35.98955,5.248236,-4.556341,4.4644,0,9.42,-1.33125,1295.575,57.5,13.5,0.8725,88,2571.07175,80.5,4.33E+00,129.825,3.12,11.986645,0,-6.279121,2.761711,3.479538,0,10.75125,13.5,975,1700,0.75125,28.0485,9.535,150.158175,16.85,1.1975,1156.65,0,0,0.25,0,0,0.75,0.25,0,0,0,0,0.25,0,0,0,0.75,0,0,0,0,0.75,0,0.25,765.1,77.75,82.75,3,6,1.25,1.25,0,0,1.5,3,0.25,1.75,16.5,2.75,3.8015,2.75,30.453,5,66.25,0.7525,34.70055,586.2,47.9905,0.4425,1.1625,3
24.666667,1.300667,23.277991,53.363333,6.302065,-5.617229,8.056057,0,15.643333,-6.777917,2115.813333,81.8,12.666667,1.113333,121.333333,4733.333333,120,5.77E+00,165.613333,2.44,9.270817,1.468,-6.346847,3.532911,4.451189,0,22.42125,12.666667,1266.666667,2433.333333,0.555667,23.153333,13.640667,203.466667,22.3,0.39,894.686667,0,0,0.333333,0,0,0.666667,0.333333,0,0,0,0,0.333333,0,0,0,0.666667,0.666667,0,0,0,0,0,0.333333,1224.24,75.333333,115,3.333333,6,1.666667,1.666667,0,0,1.333333,2.666667,0.333333,1.666667,24.666667,3.666667,6.2,3.666667,21.040333,6.666667,123,0.556667,46.179333,48.266667,32.273333,0.59,1.55,6
48.666667,1.520667,27.804753,117.053333,7.22208,-5.504782,8.184275,0,24.096667,-4.308889,2478,120,12.666667,1.34,143.333333,7586.666667,134,5.77E+00,158.766667,2.12,8.370543,0.309333,-5.709571,3.792705,4.778509,0,28.405556,12.666667,2733.333333,5033.333333,0.218333,25.173333,24.08,230.553333,27.766667,0.843333,807.766667,0,0,0.333333,0,0,0.666667,0.333333,0,0,0,0.666667,0.333333,0.666667,0,0,0,0,0,0,0,0,0,0.333333,1447.106667,76.666667,139.666667,3.333333,12.666667,1.666667,8.333333,0,0,1.333333,2.666667,0.333333,1.666667,48.666667,5,7.933333,5,17.887,17.333333,177.666667,0.218,47.566667,14.133333,27.693333,0.59,1.55,6
24.666667,1.295,23.332039,54.339175,6.084196,-5.979002,9.63201,0.000019,14.076667,-5.473492,1843.333333,80.666667,12.666667,1.123333,120,5338.666667,146.666667,4.97E+00,84.466667,2.193333,9.444627,1.083333,-6.665217,3.373974,4.250941,0,19.550159,12.666667,2400,6066.666667,0.592,23.902667,25.223333,197.523333,17.266667,0.32,911.466667,0,0,0,0,0,0,0.333333,0,0,0,0.333333,0.333333,0,0.666667,0,0.666667,0,0.666667,0,0,0,0,0.333333,1080.533333,74,112.666667,3.333333,6,1,2.333333,0,0,2,2,0.333333,1.666667,24.666667,3.666667,5.62,3.666667,18.736667,57.666667,66,0.592,39.156667,86.8,29.61,1.71,5.5,6
25.333333,1.288333,22.633655,55.066667,6.219334,-4.858837,8.097151,0.000019,15.05,-6.644583,1952.813333,78.466667,13.333333,1.096667,118.666667,5430,156,4.97E+00,170.28,2.453333,9.360173,1.468,-5.796356,3.48177,4.386755,0,21.694583,13.333333,1533.333333,3333.333333,0.551333,23.153333,14.010667,195.923333,21.8,0.4,903.386667,0,0,0,0,0,0.666667,0.333333,0,0,0,0.333333,0.333333,0,0,0,0.666667,0.666667,0,0,0,0,0,0.333333,1127.906667,77.333333,113.333333,2.666667,6.666667,1,2.333333,0,0,1.333333,2.666667,0.333333,1.666667,25.333333,3.666667,5.133333,3.666667,21.14,57.666667,111.333333,0.552667,39.179333,48.8,32.71,0.61,1.8,6.666667
36.666667,1.368333,19.005269,83.637733,6.503465,-5.666953,7.236524,0.000019,17.31,-1.976667,2065.666667,88,12.666667,1.216667,128,7941.333333,169.333333,7.50E+00,88,2.186667,8.979233,0,-6.165471,3.360036,4.233381,0,19.286667,12.666667,3266.666667,5333.333333,0.298667,24.446667,29.156667,210.856667,19,0.593333,868.333333,0,0,0,0,0,0,0.333333,0,0,0,0.333333,1,0.666667,0,0,0,0,0.666667,0,0.666667,0,0,0.333333,1595.666667,74.666667,121.333333,3.333333,12.666667,1,9,0,0,2,2,0.333333,1.666667,36.666667,4.333333,6.073333,4.333333,18.008667,57.666667,175.333333,0.299333,72.333333,12.4,28.390667,1.57,5,6
37.333333,1.375,22.661828,86.33,6.592865,-4.790805,6.661267,0.000019,18.083333,-3.7,2113,78.866667,13.333333,1.19,128.666667,7336,156.666667,1.03E+01,166.64,2.433333,8.955093,0.532667,-5.378739,3.486033,4.392126,0,21.783333,13.333333,2533.333333,6666.666667,0.293333,24.928667,17.323333,206.803333,24.533333,0.54,864.266667,0,0,0,0,0,0.666667,0.333333,0,0,0,1,0.333333,0,0,0,0.666667,0,0,0,0,0,0,0.333333,1198.333333,78,123.333333,2.666667,13.333333,1,9,0,0,1.333333,2.666667,0.333333,1.666667,37.333333,4.333333,5.713333,4.333333,19.713333,60.133333,74,0.292667,40.36,32.133333,30.036667,0.61,1.8,6.666667
48.666667,1.501667,24.65024,114.863333,7.065323,-5.450254,8.512868,0.000019,22.696667,-2.846667,2714.333333,101.333333,12.666667,1.35,141.333333,8588,188,6.70E+00,104,2.1,8.192427,0,-5.809786,3.654635,4.604551,0,25.543333,12.666667,6333.333333,4933.333333,0.217333,24.84,26.056667,234.57,24.8,0.713333,792.8,0,0,0,0,0,0,0.333333,0,0,0,0.333333,1,0.666667,0,0,0,0,0.666667,0,0.666667,0,0,0.333333,1471.52,75.333333,148,3.333333,12.666667,1,9,0,0,2,2,0.333333,1.666667,48.666667,5,7.6,5,16.606667,71,175.333333,0.217333,55.2,9.466667,26.356667,1.45,4.733333,6
49.333333,1.508333,27.160417,118.756667,7.139349,-4.74639,8.22537,0.000019,23.503333,-4.175556,2315,116.666667,13.333333,1.323333,140.666667,8283.333333,170,4.97E+00,163.433333,2.133333,8.4599,0.309333,-5.15908,3.741564,4.714075,0,27.678889,13.333333,3000,5933.333333,0.214,25.173333,24.45,223.01,27.266667,0.853333,816.466667,0,0,0,0,0,0.666667,0.333333,0,0,0,1,0.333333,0.666667,0,0,0,0,0,0,0,0,0,0.333333,1350.773333,78.666667,138,2.666667,13.333333,1,9,0,0,1.333333,2.666667,0.333333,1.666667,49.333333,5,6.866667,5,17.986667,68.333333,166,0.214,40.566667,14.666667,28.13,0.61,1.8,6.666667
27.6,1.3,21.790131,60.4012,6.205156,-4.565667,7.606881,0.148143,14.948,-5.980125,2017.832,156.62,13.2,1.112,119.8,6156,143.4,9.20E+00,168.252,2.46,9.199566,1.3212,-5.359788,3.437505,4.330984,0,20.928125,13.2,1700,3800,0.522,23.612,11.6686,204.156,20.02,0.442,887.748,0,0,0,0,0,0.6,0.4,0,0.4,0,0,0.4,0,0,0,0.6,0.6,0,0,0,0,0,0.4,1127.816,76.4,114.6,2.4,7.2,0.8,3.2,0,0,1.2,2.4,0.4,1.6,27.6,3.8,5.18,3.8,21.23,60,132,0.5228,60.1614,45.28,33.322,0.704,2.16,6
23.25,1.28875,23.806287,49.775125,6.240322,-3.979588,7.666396,0.092589,15.2,-7.550156,1530.29,100.775,14.25,1.0775,114.25,4582.5,96.75,5.75E+00,180.315,2.505,9.634733,1.6515,-4.886324,3.544297,4.465535,0,22.750156,14.25,1325,2750,0.59175,23.27,7.93825,131.3475,22.15,0.385,929.685,0,0,0,0,0,0.75,0.25,0,0.25,0,0,0.25,0,0,0,0.75,0.75,0,0,0,0,0,0.25,850.52,80.75,110.25,2.25,6.75,0.5,2,0,0,1.5,3,0.25,1.75,23.25,3.5,4.325,3.5,22.0175,37.5,108.75,0.593,37.70175,54.55,33.8875,0.44,1.35,6
37.666667,1.381667,22.714373,86.941833,6.594316,-4.237155,6.197449,0.123452,18.093333,-3.733333,1961.333333,132.2,13.666667,1.19,127.333333,7362.666667,123.333333,1.30E+01,169.973333,2.46,8.987893,0.532667,-4.731743,3.489231,4.396155,0,21.826667,13.666667,2533.333333,6666.666667,0.295,25.235333,13.323333,182.676667,23.7,0.556667,867.266667,0,0,0,0,0,0.666667,0.333333,0,0.333333,0,0.666667,0.333333,0,0,0,0.666667,0,0,0,0,0,0,0.333333,1075,79,122.666667,2.333333,13.666667,0.666667,9.333333,0,0,1.333333,2.666667,0.333333,1.666667,37.666667,4.333333,5.38,4.333333,20.153333,52.466667,84.333333,0.294,51.36,32.733333,30.9,0.586667,1.8,6
36.75,1.38625,23.837981,84.946375,6.660544,-3.903052,6.051027,0.092589,18.6125,-4.2375,1710.5,101.225,14.25,1.1825,125.5,6726.75,97.5,1.18E+01,176.22,2.4825,9.179018,0.59925,-4.416505,3.549093,4.471577,0,22.85,14.25,2450,6500,0.3015,25.26725,11.665,143.5875,25.225,0.5425,885.675,0,0,0,0,0,0.75,0.25,0,0.25,0,0.75,0.25,0,0,0,0.75,0,0,0,0,0,0,0.25,929.75,81.5,121.5,2.25,14.25,0.5,9.5,0,0,1.5,3,0.25,1.75,36.75,4.25,4.9775,4.25,20.4125,40.275,66.75,0.3005,39.03,35.8,30.88,0.44,1.35,6
27,1.0525,9303.447776,61.2097,5.517632,-3.775382,4.130261,0,10.9,-0.8575,1663.05,90,13,1.005,102.5,6012.2145,63.5,5.00E+00,100.55,2.82,10.977475,0,-4.947283,2.84842,3.588785,0,11.7575,13,1850,4250,0.581,27.679,8.48,198.35545,16,1.02,1059.45,0,0,0,0,0,0.5,0.5,0,0.5,0,0,0.5,0,0,0,0.5,0,0,0,0,0.5,0,0.5,941.425,74.5,103,1,8,0,5,0,0,1,2,0,1,27,3.5,2.801,3.5,27.3735,22,118.5,0.582,36.0337,395.9,43.932,0.835,2.725,3
25.333333,1.311667,23.708877,56.122508,6.110949,-4.819028,8.440913,0,14.263333,-5.586825,1447.666667,67.333333,13.333333,1.133333,117.666667,5223,45.666667,3.33E+00,67.8,2.193333,9.770093,1.083333,-5.312931,3.395709,4.278326,0,19.850159,13.333333,2400,6066.666667,0.594,24.542667,17.94,139.366667,17.5,0.326667,942.8,0,0,0,0,0,0,0.333333,0,0.333333,0,0,0.333333,0,0.666667,0,0.666667,0,0.666667,0,0,0,0,0.333333,820.883333,76,115.333333,2,6.666667,0,3.333333,0,0,2,2,0,1.333333,25.333333,3.666667,4.02,3.666667,19.693333,14.666667,76.333333,0.594,24.09,88.6,31.096667,1.656667,5.516667,4.666667
31,1.3225,20.932466,69.2425,6.219663,-4.046901,6.476288,0,15.045,-5.053437,1976.86,93.85,13,1.15,122,6991.5,73,5.00E+00,130.21,2.39,9.348455,1.101,-4.617496,3.394116,4.276318,0,20.098437,13,1950,4500,0.476,24.34,9.2305,201.65,20.2,0.465,902.29,0,0,0,0,0,0.5,0.5,0,0.5,0,0,0.5,0,0,0,0.5,0.5,0,0,0,0,0,0.5,1108.205,75,122.5,1,8,0,5,0,0,1,2,0,1,31,4,3.85,4,21.48,22,147.5,0.477,36.0345,40.9,33.88,0.835,2.725,5
26,1.305,23.010493,56.85,6.246086,-3.698864,6.906054,0,15.236667,-6.757917,1557.146667,65.133333,14,1.106667,116.333333,5314.333333,55,3.33E+00,153.613333,2.453333,9.68564,1.468,-4.444069,3.503505,4.41414,0,21.994583,14,1533.333333,3333.333333,0.553333,23.793333,6.727333,137.766667,22.033333,0.406667,934.72,0,0,0,0,0,0.666667,0.333333,0,0.333333,0,0,0.333333,0,0,0,0.666667,0.666667,0,0,0,0,0,0.333333,868.256667,79.333333,116,1.333333,7.333333,0,3.333333,0,0,1.333333,2.666667,0,1.333333,26,3.666667,3.533333,3.666667,22.096667,14.666667,121.666667,0.554667,24.112667,50.6,34.196667,0.556667,1.816667,5.333333
40,1.3875,20.953595,92.69,6.499811,-3.995877,5.399375,0,17.32,-2.845,2097,94.15,13,1.22,129.5,8421,73.5,9.00E+00,127.48,2.375,9.044645,0.3995,-4.304283,3.397313,4.280346,0,20.165,13,2700,7000,0.2825,25.6715,11.715,209.81,22.25,0.57,872.95,0,0,0,0,0,0.5,0.5,0,0.5,0,0.5,0.5,0,0,0,0.5,0,0,0,0,0,0,0.5,1161.025,75.5,130,1,13,0,10,0,0,1,2,0,1,40,4.5,4.285,4.5,20.41,23.85,119.5,0.282,36.92,28.4,31.875,0.835,2.725,5
38,1.391667,23.038665,88.113333,6.619617,-3.630832,5.47017,0,18.27,-3.813333,1717.333333,65.533333,14,1.2,126.333333,7220.333333,55.666667,8.67E+00,149.973333,2.433333,9.28056,0.532667,-4.026453,3.507768,4.419511,0,22.083333,14,2533.333333,6666.666667,0.295333,25.568667,10.04,148.646667,24.766667,0.546667,895.6,0,0,0,0,0,0.666667,0.333333,0,0.333333,0,0.666667,0.333333,0,0,0,0.666667,0,0,0,0,0,0,0.333333,938.683333,80,126,1.333333,14,0,10,0,0,1.333333,2.666667,0,1.333333,38,4.333333,4.113333,4.333333,20.67,17.133333,84.333333,0.294667,25.293333,33.933333,31.523333,0.556667,1.816667,5.333333
50,1.525,27.537255,120.54,7.166101,-3.586417,7.034273,0,23.69,-4.288889,1919.333333,103.333333,14,1.333333,138.333333,8167.666667,69,3.33E+00,146.766667,2.133333,8.785367,0.309333,-3.806793,3.763299,4.74146,0,27.978889,14,3000,5933.333333,0.216,25.813333,17.166667,164.853333,27.5,0.86,847.8,0,0,0,0,0,0.666667,0.333333,0,0.333333,0,0.666667,0.333333,0.666667,0,0,0,0,0,0,0,0,0,0.333333,1091.123333,80.666667,140.666667,1.333333,14,0,10,0,0,1.333333,2.666667,0,1.333333,50,5,5.266667,5,18.943333,25.333333,176.333333,0.216,25.5,16.466667,29.616667,0.556667,1.816667,5.333333
17,1.051,13948.64314,37.472075,5.205755,-3.722883,5.719423,0,9.285,-5.874062,666.6575,25,14,0.8975,89.5,2623.43825,20,1.57E+01,26.175,2.7625,12.794633,4.82775,-6.849929,3.117507,3.927812,0,15.159062,14,1275,725,0.83875,28.1805,3.09125,64.7521,21.2,1.57,1234.475,0,0,0,0,0,0,0.25,0,0.25,0,0.75,0.25,0,0,0,0.75,0,0.75,0,0,0,0,0.25,356.02,77.75,90,2.5,6.5,0,2.5,0,0,2.25,2.25,0.25,1.75,17,2.75,2.5725,2.75,27.57325,7.5,201.75,0.84025,107.269485,184.725,44.2935,1.5775,6.2325,4.25
34,1.206,6208.782821,77.245267,5.882258,-2.633237,3.726351,0,13.243333,-0.678333,1653.366667,66.666667,12.666667,1.136667,118.666667,6993.809667,53.333333,4.19E+01,130.833333,2.433333,9.59017,0,-3.429193,3.007952,3.789782,0,13.921667,12.666667,966.666667,1100,0.462667,26.692667,7.606667,168.223633,17.1,1.233333,925.3,0,0,0,0,0,0.333333,0.666667,0,0.666667,0,0,0.666667,0,0,0,0.333333,0,0,0,0,0.333333,0,0.666667,841.553333,72.333333,117.333333,1.333333,9.333333,0,6.666667,0,0,0.666667,1.333333,0.666667,1.333333,34,4,4.927333,4,26.032333,20,154,0.463333,286.089133,272.6,41.531333,0.906667,2.9,2
36.666667,1.386,20.439281,82.600467,6.350279,-2.814249,5.290369,0,16.006667,-3.475625,1862.573333,69.233333,12.666667,1.233333,131.666667,7646.666667,59.666667,4.19E+01,150.606667,2.146667,8.504157,0.734,-3.209335,3.371749,4.248137,0,19.482292,12.666667,1033.333333,1266.666667,0.392667,24.466667,8.107,170.42,19.9,0.863333,820.526667,0,0,0,0,0,0.333333,0.666667,0,0.666667,0,0,0.666667,0,0,0,0.333333,0.333333,0,0,0,0,0,0.666667,952.74,72.666667,130.333333,1.333333,9.333333,0,6.666667,0,0,0.666667,1.333333,0.666667,1.333333,36.666667,4.333333,5.626667,4.333333,22.103333,20,173.333333,0.393333,286.089667,35.933333,34.83,0.906667,2.9,3.333333
32,1.217,9167.291343,71.6606,6.638434,-1.837262,3.132737,0,18.37,-2.04375,1336.98,50.55,14,1.165,123.5,5246.607,40,3.15E+01,237.25,2.545,10.27193,1.2465,-2.274914,3.427831,4.318796,0,20.41375,14,1350,1200,0.357,29.6495,7.25,130.415,23,1.48,991.05,0,0,0,0,0,0,0.5,0,0.5,0.5,0,0.5,0,0,0,0.5,0.5,0,0,0,0,0,0.5,703.265,79.5,72,1,9,0,5,0,0,0.5,2.5,0.5,1.5,32,4,4.585,4,22.65,15,144.5,0.3575,214.50445,9.45,37.2205,0.68,2.175,4.5
42.666667,1.429333,20.453367,98.232133,6.537044,-2.780233,4.572427,0,17.523333,-2.003333,1942.666667,69.433333,12.666667,1.28,136.666667,8599.666667,60,4.46E+01,148.786667,2.136667,8.301617,0.266333,-3.000526,3.37388,4.250822,0,19.526667,12.666667,1533.333333,2933.333333,0.263667,25.354333,9.763333,175.86,21.266667,0.933333,800.966667,0,0,0,0,0,0.333333,0.666667,0,0.666667,0,0.333333,0.666667,0,0,0,0.333333,0,0,0,0,0,0,0.666667,987.953333,73,135.333333,1.333333,12.666667,0,10,0,0,0.666667,1.333333,0.666667,1.333333,42.666667,4.666667,5.916667,4.666667,21.39,21.233333,154.666667,0.263333,286.68,27.6,33.493333,0.906667,2.9,3.333333
41,1.292,29.801737,93.8861,6.899312,-1.859305,3.029987,0,20.88,-2.025,1383.5,50.95,14,1.24,132.5,6805,40,3.15E+01,225.15,2.445,9.695015,0.7285,-2.174209,3.544298,4.465536,0,22.905,14,2250,4150,0.3545,50.52,8.2925,132.6775,41.05,1.555,935.45,0,0,0,0,0,0,0.5,0,0.5,0.5,0,0.5,0,0,0,0.5,0.5,0,0,0,0,0,0.5,750.365,80,72,1,14,0,10,0,0,0.5,2.5,0.5,1.5,41,4.5,5.02,4.5,21.645,15,144.5,0.2305,214.561,9.45,35.415,0.68,2.175,4.5
48.666667,1.496,22.702662,114.445467,6.810286,-2.758026,5.354478,0,20.233333,-2.241111,2043.666667,88.333333,12.666667,1.346667,142.666667,9073.333333,66.666667,4.19E+01,147.183333,1.986667,8.05402,0.154667,-2.890697,3.501645,4.411797,0,22.474444,12.666667,1766.666667,2566.666667,0.224,25.476667,13.326667,183.963333,22.633333,1.09,777.066667,0,0,0,0,0,0.333333,0.666667,0,0.666667,0,0.333333,0.666667,0.333333,0,0,0,0,0,0,0,0,0,0.666667,1064.173333,73.333333,142.666667,1.333333,12.666667,0,10,0,0,0.666667,1.333333,0.666667,1.333333,48.666667,5,6.493333,5,20.526667,25.333333,200.666667,0.224,286.783333,18.866667,32.54,0.906667,2.9,3.333333
49.5,1.522,25.516168,117.7341,7.027453,-2.777049,6.005337,0,22.25,-3.296667,1848,82.5,13.5,1.35,141.5,8365,60,3.15E+01,157.925,2.015,8.292915,0.232,-2.953348,3.654228,4.604038,0,25.546667,13.5,2050,3150,0.2185,25.54,14.34,150.63,25.45,1.06,800.1,0,0,0,0,0,0.5,0.5,0,0.5,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0.5,978.795,77.5,142,1.5,13.5,0,10,0,0,1,2,0.5,1.5,49.5,5,6.245,5,20.045,23,188.5,0.2185,215.675,18.85,31.395,0.68,2.175,4
28,1.1095,9306.888596,64.2052,5.847321,-1.600045,3.505914,0,13.49,-0.81,565.05,21,14,1.07,105,4325.7145,31,7.35E+00,70.55,2.565,11.305935,0,-2.784483,3.010908,3.793506,0,14.3,14,1100,900,0.5745,27.699,3.215,51.64045,19.4,1.175,1090.8,0,0,0,0,0,0.5,0.5,0,0,0,0.5,0.5,0,0,0,0.5,0,0,0,0,0.5,0,0.5,324.51,78.5,110.5,1,9,0,5,0,0,1,2,0,2,28,3.5,4.061,3.5,26.0125,9.5,103,0.576,48.5337,405.4,46.207,0.62,2.025,2
22,0.976333,12408.26572,50.135935,5.685528,-0.798744,0.25479,0,12.17,-0.8,403.253333,14,15.333333,0.95,86,2884.464,20.666667,4.90E+00,218.666667,3.216667,14.61314,1.313333,-1.402765,2.9221,3.681616,0,12.97,15.333333,1566.666667,1433.333333,0.626333,29.542667,2.24,35.469867,18.1,1.203333,1409.9,0,0,0,0,0,0,0.333333,0,0,0.666667,0.333333,0.333333,0,0,0,0.666667,0,0,0,0,0.666667,0,0.333333,233.74,85.333333,52.333333,0.666667,8.666667,0,3.333333,0,0,0.666667,3.333333,0,2,22,3,2.811333,3,28.949333,6.333333,74.666667,0.626667,32.285267,1210.266667,54.298,0.413333,1.35,1.333333
26,1.349667,26.002756,58.119508,6.330741,-3.368804,8.024682,0,15.99,-5.555159,715.666667,21.333333,14,1.176667,119.333333,4098.666667,24,4.90E+00,47.8,2.023333,9.989067,1.083333,-3.871064,3.504034,4.414807,0,21.545159,14,1900,3833.333333,0.589667,24.556,14.43,41.556667,19.766667,0.43,963.7,0,0,0,0,0,0,0.333333,0,0,0,0.333333,0.333333,0,0.666667,0,0.666667,0,0.666667,0,0,0,0,0.333333,409.606667,78.666667,120.333333,2,7.333333,0,3.333333,0,0,2,2,0,2,26,3.666667,4.86,3.666667,18.786,6.333333,66,0.59,32.423333,94.933333,32.613333,1.513333,5.05,4
34.8,1.4054,24.233664,79.836105,6.518352,-2.317418,6.390127,0,17.454,-3.271095,845.4,29.6,13.2,1.27,129.2,5919.2,39.2,8.82E+00,28.68,1.89,9.590968,0.65,-2.647508,3.458789,4.357801,0,20.725095,13.2,1820,2820,0.4462,25.1416,11.142,64.882,20.46,0.638,925.3,0,0,0,0,0,0,0.6,0,0,0,0.6,0.6,0,0.4,0,0.4,0,0.4,0,0,0,0,0.6,483.452,75.2,135,1.2,9.2,0,6,0,0,1.2,1.2,0,2,34.8,4.2,5.844,4.2,18.0348,11.4,117.2,0.4468,58.174,69.28,34.56,1.404,4.65,3.2
21.6,1.3218,26.887303,47.26121,6.236935,-3.894497,8.841959,0,15.258,-6.69719,650.8,17.2,14.4,1.13,114.4,3188.4,16.4,2.94E+00,57.36,2.09,10.188116,1.3,-4.482842,3.526657,4.443309,0,21.95519,14.4,1940,4340,0.6614,24.2632,16.074,29.894,19.42,0.326,982.9,0,0,0,0,0,0,0.2,0,0,0,0.2,0.2,0,0.8,0,0.8,0,0.8,0,0,0,0,0.2,372.684,80.4,113,2.4,6.4,0,2,0,0,2.4,2.4,0,2,21.6,3.4,4.368,3.4,19.1616,3.8,40.4,0.6616,19.548,107.76,31.64,1.568,5.25,4.4
32,1.3795,24.373286,72.238,6.549351,-1.871564,5.85194,0,17.635,-5.005937,878.86,24.85,14,1.215,124.5,5305,40.5,7.35E+00,100.21,2.135,9.676915,1.101,-2.454695,3.556603,4.481039,0,22.640937,14,1200,1150,0.4695,24.36,3.9655,54.935,23.6,0.62,933.64,0,0,0,0,0,0.5,0.5,0,0,0,0.5,0.5,0,0,0,0.5,0.5,0,0,0,0,0,0.5,491.29,79,130,1,9,0,5,0,0,1,2,0,2,32,4,5.11,4,20.119,9.5,132,0.471,48.5345,50.4,36.155,0.62,2.025,4
27.333333,1.156333,12218.8647,61.105667,6.867201,-0.883143,2.787907,0,20.243333,-2.586667,505.973333,14.733333,15.333333,1.13,116,2885.476,20.666667,4.90E+00,232.533333,2.67,11.643027,1.662,-1.460347,3.569761,4.497617,0,22.83,15.333333,1566.666667,1100,0.396333,31.306,4.203333,40.09,26.5,1.523333,1123.3,0,0,0,0,0,0,0.333333,0,0,0.666667,0.333333,0.333333,0,0,0,0.666667,0.666667,0,0,0,0,0,0.333333,312.473333,86,52.333333,0.666667,8.666667,0,3.333333,0,0,0.666667,3.333333,0,2,27.333333,3.666667,3.893333,3.666667,21.509333,6.333333,107.333333,0.397333,32.2726,10.266667,38.900667,0.413333,1.35,5.333333
38,1.423,21.675986,87.418067,6.75001,-3.056756,5.629195,0,19.223333,-2.058333,938,28.666667,14,1.27,127.333333,6701.333333,46.666667,7.43E+00,51.333333,2.016667,9.523673,0,-3.371317,3.490097,4.397246,0,21.281667,14,2766.666667,3100,0.296333,25.1,18.363333,54.89,21.5,0.703333,920.566667,0,0,0,0,0,0,0.333333,0,0,0,0.333333,1,0.666667,0,0,0,0,0.666667,0,0.666667,0,0,0.333333,924.74,79.333333,129,2,14,0,10,0,0,2,2,0,2,38,4.333333,5.313333,4.333333,18.058,6.333333,175.333333,0.297333,65.6,20.533333,31.394,1.373333,4.55,4
